uniform_number,player_name,position,bats,throws,ht,wt,yob
22,Antognini Silva Victor,UTL,R,R,,,2000
12,Bodart Mathéo,UTL,R,R,,,2007
16,Bodart Nathan,UTL,L,L,,,2007
31,Chavee Loris,UTL,R,R,,,1998
87,D'andrea Joé,UTL,R,R,,,1990
41,Delcourt Tim,UTL,R,R,,,2007
17,Delvenne Fabrice,UTL,R,R,,,1981
99,Delvenne Matthew,UTL,L,L,,,2006
13,Delvenne David,UTL,R,R,180,74,1985
98,Dupont Aubin,UTL,R,R,,,2000
7,Fievet Antoine,UTL,R,R,,,1996
18,Fourneaux Xavier,UTL,R,R,,,1972
93,Fourneaux Mallory,UTL,R,R,,,2002
0,Ghys Ilona,UTL,R,R,,,2005
34,Ghys Frédéric,UTL,R,R,,,1978
14,Ghys Ilian,UTL,R,R,,,2004
80,GOFFINET Valentin,UTL,R,R,,,1992
58,Hespel Nicolas,UTL,R,R,,,1985
77,Hubert Thomas,UTL,R,R,,,1990
91,Laroy Seraphin,UTL,R,R,,,1995
0,Marchal Simon,UTL,R,R,,,2008
61,Mastronardi Aurélien,UTL,R,R,,,2000
29,Nunes Marques Hugo,UTL,L,L,,,2002
20,Pouillon Maxence,UTL,R,R,0,0,2007
55,Stokart Adrien,UTL,R,R,0,0,1988
1,Stokart Laurent,UTL,R,R,,,1982
15,Tasiaux Benjamin,UTL,R,R,0,0,1995
4,Vandermeulen Frédéric,UTL,R,R,,,1975
0,Vandionant Kristina,UTL,R,R,,,1985
22,Antognini Silva Victor,UTL,R,R,,,2000
12,Bodart Mathéo,UTL,R,R,,,2007
16,Bodart Nathan,UTL,L,L,,,2007
31,Chavee Loris,UTL,R,R,,,1998
87,D'andrea Joé,UTL,R,R,,,1990
41,Delcourt Tim,UTL,R,R,,,2007
17,Delvenne Fabrice,UTL,R,R,,,1981
99,Delvenne Matthew,UTL,L,L,,,2006
13,Delvenne David,UTL,R,R,180,74,1985
98,Dupont Aubin,UTL,R,R,,,2000
7,Fievet Antoine,UTL,R,R,,,1996
18,Fourneaux Xavier,UTL,R,R,,,1972
93,Fourneaux Mallory,UTL,R,R,,,2002
0,Ghys Ilona,UTL,R,R,,,2005
34,Ghys Frédéric,UTL,R,R,,,1978
14,Ghys Ilian,UTL,R,R,,,2004
80,GOFFINET Valentin,UTL,R,R,,,1992
58,Hespel Nicolas,UTL,R,R,,,1985
77,Hubert Thomas,UTL,R,R,,,1990
91,Laroy Seraphin,UTL,R,R,,,1995
0,Marchal Simon,UTL,R,R,,,2008
61,Mastronardi Aurélien,UTL,R,R,,,2000
0,Mathieu Damien,UTL,R,R,,,1995
29,Nunes Marques Hugo,UTL,R,R,,,2002
20,Pouillon Maxence,UTL,R,R,0,0,2007
55,Stokart Adrien,UTL,R,R,0,0,1988
15,Tasiaux Benjamin,UTL,R,R,0,0,1995
4,Vandermeulen Frédéric,UTL,R,R,,,1975
0,Vandionant Kristina,UTL,R,R,,,1985
