uniform_number,player_name,position,bats,throws,ht,wt,yob
13,Boermans Sam,UTL,R,R,0,0,1993
22,Boermans Jens,UTL,R,R,0,0,2006
28,De Baets Matthias,P/UTL,R,R,0,0,2002
7,De Brauwer Zion,IF/UTL,R,R,0,0,2001
3,De Lannoy Steven,OF/UTL,L,R,0,0,1983
31,De Saedeleer Sander,IF/UTL,R,R,0,0,2001
11,Fatihi Ayoub,UTL,R,R,0,0,2004
0,Fisher Graham,UTL,R,R,0,0,1996
23,Group Matthias,UTL,R,R,0,0,1992
9,Imbert Nils,UTL,R,R,0,0,2007
76,Mareels Gregg,UTL,R,R,0,0,1998
19,Mareels Glenn,P/UTL,R,R,0,0,1992
88,Meert Aaron,UTL,R,R,0,0,1999
20,Mertens Jordi,UTL,R,R,0,0,1992
63,Pacheco Alvarez Giënco,UTL,L,L,0,0,2007
27,Sirgedas Matas,UTL,R,R,0,0,1998
21,Solis Pinargote Nestor Aaron,OF/UTL,R,R,0,0,1990
34,Van Den Brande Yann,P/UTL,R,R,0,0,1999
21,Van Donick Glenn,UTL,L,L,0,0,2000
6,Van Droogenbroeck Jace,P/UTL,L,L,0,0,1997
24,Van Geel Timen,OF/UTL,S,L,0,0,1990
37,Van Mook Mauro,P/UTL,R,R,0,0,2002
58,Vandervelden Viktor,P/UTL,R,R,0,0,2004
10,Vandesompele Cedric,IF/UTL,R,R,0,0,1991
35,Vanthillo Nick,UTL,R,R,0,0,1991
55,Veraghtert Tim,UTL,R,R,0,0,1994
99,Wyatt Lankford,P/UTL,R,R,0,0,1998
77,Andries Thibo,UTL,R,R,0,0,2005
22,Boermans Jens,UTL,R,R,0,0,2006
60,Casie Natan,UTL,R,R,0,0,2008
7,De Jongh Tim,UTL,R,R,,,1985
11,Fatihi Ayoub,UTL,R,R,0,0,2004
5,Fatihi Nouamane,UTL,R,R,0,0,2008
17,Gontier Yannick,UTL,R,R,0,0,1989
61,Imbert Nils,UTL,R,R,0,0,2007
0,Leflot Gregory,UTL,R,R,0,0,1990
20,Mareels Gregg,UTL,R,R,0,0,1998
8,Mareels Glenn,UTL,R,R,0,0,1992
0,Meert Aaron,UTL,R,R,0,0,1999
9,Moons Ruben,UTL,R,R,0,0,1996
30,Niazi Hsibullah,UTL,R,R,0,0,2003
18,Omloop Jelle,UTL,R,R,0,0,1983
63,Pacheco Alvarez Giënco,UTL,R,R,0,0,2007
49,Satens Matthew,UTL,R,R,0,0,1998
99,Sirgedas Matas,UTL,R,R,0,0,1998
0,Smits Pieter,UTL,R,R,0,0,1984
2,Van Baden Daryl,UTL,R,R,,,1996
14,Van Braeken Christophe,UTL,R,R,0,0,1986
3,Van Den Bosch Dave,UTL,R,R,0,0,1985
21,Van Donick Glenn,UTL,R,R,0,0,2000
58,Van Peer Matthias,UTL,R,R,0,0,1994
27,Vandervelden Viktor,UTL,R,R,0,0,2004
21,Vandeweyer Joachim Frederic,UTL,R,R,,,2000
26,Verelst Kevin,UTL,R,R,0,0,1983
85,Verhoeven Jaimie,UTL,R,R,0,0,1985
0,Wim Brand,UTL,R,R,,,1990
