uniform_number,player_name,position,bats,throws,ht,wt,yob
14,Anthonissen Quinten,UTL,R,R,0,0,1987
3,Belmans Jonas,UTL,L,L,,,2006
12,Cappaert Zeb,UTL,R,R,0,0,2003
29,Cooper Hunter,UTL,L,R,0,0,1999
51,De Boey Robbe,UTL,R,R,0,0,2004
22,Delgado Kelvin,UTL,L,R,0,0,1980
35,Dockx Sebastiaan,UTL,R,R,,,2004
10,Driessens Artuur,UTL,R,R,0,0,1996
5,Heyrman Hans,UTL,R,R,0,0,1987
0,Joossens Matthew,UTL,R,R,0,0,1998
25,Longhofer Jackson,UTL,R,R,,,1997
27,Martinez Miranda Raxon,UTL,R,R,0,0,1996
34,Peeters Christoff,UTL,R,R,0,0,2000
15,Peeters Jamie,UTL,R,R,0,0,2004
28,Poesmans Axel,UTL,R,R,0,0,1996
21,Poesmans Yves,UTL,R,R,0,0,1996
17,Roevens Robin,UTL,R,R,0,0,1995
23,Soebert Tibo,UTL,L,L,0,0,2000
2,STAUB Sem,UTL,R,R,0,0,2003
90,Van Velthoven Jasper,UTL,R,R,0,0,2003
19,Verhaert Josse,UTL,R,R,,,2007
1,Verheyleweghen Jamie,UTL,L,L,0,0,1991
44,Voets Yarno,UTL,R,R,0,0,2003
10,Anthonissen Quinten,UTL,R,R,0,0,1987
3,Belmans Jonas,UTL,L,L,,,2006
12,Cappaert Zeb,UTL,R,R,0,0,2003
29,Cooper Hunter,UTL,L,R,0,0,1999
2,De Beule Lars,UTL,R,R,,,2008
51,De Boey Robbe,UTL,R,R,0,0,2004
66,De Braekeleer Rune,UTL,R,R,,,2007
35,Dockx Sebastiaan,UTL,R,R,,,2004
59,Jaspers Sam,UTL,R,R,,,2006
0,Joossens Matthew,UTL,R,R,0,0,1998
75,Knaepkens Thimo,UTL,R,R,,,2009
27,Longhofer Jackson,UTL,R,R,,,1997
12,Meir Lou,UTL,R,R,0,0,2009
42,Mulders Matthias,UTL,R,R,,,2005
34,Peeters Christoff,UTL,R,R,0,0,2000
0,Ruelle Andy,UTL,R,R,0,0,1983
9,Ruelle Daan,UTL,R,R,0,0,2008
14,Schoonheydt Yana,UTL,R,R,0,0,2007
0,STAUB Sem,UTL,R,R,0,0,2003
27,Van Ballaert Ken,UTL,R,R,,,1998
19,Van Ballaert Deion,UTL,R,R,,,1997
15,Van De Keere William,UTL,R,R,,,2007
40,Van De Merlen Misha,UTL,R,R,,,2007
41,Van De Merlen Mateo,UTL,R,R,,,2007
49,Van De Putte Brent,UTL,R,R,,,2006
90,Van Velthoven Jasper,UTL,R,R,0,0,2003
0,Verhaert Tonny,UTL,R,R,0,0,1976
44,Verhaert Josse,UTL,R,R,,,2007
48,Voets Yarno,UTL,R,R,0,0,2003
16,Voorts Seppe,UTL,R,R,0,0,2002
