uniform_number,player_name,position,bats,throws,ht,wt,yob
0,Almagro Gomez Jose Raul,UTL,R,R,,,1981
0,Cedeño Daudinot Alain,UTL,R,R,0,0,1974
0,Cortes Rojas Carlos Alberto,UTL,R,R,0,0,1996
0,Deletombe Maxime,UTL,R,R,,,1988
1,Denachtergael Ryan,P,R,R,,,2005
10,Fernandez Cuba Adalberto,UTL,R,R,,,1978
32,Garcia Pupo Oreste,IF/OF,S,R,0,0,1990
72,Genao Rigoberto,1B/OF,R,R,,,1980
5,Guy Romain,C,R,R,,,2005
24,Lambeau Jean-Marc,P/1B/OF,R,R,,,1986
99,Limonta Padilla Alejandro,P/CF/IF,R,R,,,1987
15,Mumenthaler Frédéric,P,R,R,,,1977
30,Oesau Guillaume,C,R,R,,,1996
0,Peña Gonzalez Francisco,UTL,R,R,0,0,1986
27,Perez Cabarallo Arturo,P/OF,R,R,,,1988
40,Piret Christophe,1B/OF,R,R,,,1976
11,Rivera Hegel Luis Diego,UTL,R,R,,,1983
0,Urbaez Feliz Joni Antonio,UTL,R,R,0,0,1992
9,Urquiaga Rodriguez Carlos Enrique,UTL,R,R,0,0,1964
0,Van Den Bossche Leopold,UTL,R,R,,,1989
0,VOLCKAERT Marc,UTL,R,R,,,1983
0,Adam Damien,UTL,R,R,,,2008
0,Bariaux Ludovic,UTL,R,R,,,2005
0,Bombart Bastien,UTL,R,R,,,2006
0,BONAVENTURE Tom,UTL,R,R,,,2007
0,Cadeddu Matteo,UTL,R,R,,,2006
0,Clerbois Theo,UTL,R,R,,,2007
0,Colantoni Raffaello,UTL,R,R,,,2004
0,Coune Nicolas,UTL,R,R,,,1996
0,Croon Nathan,UTL,R,R,,,2009
0,de Decker Augustin,UTL,R,R,,,2002
0,Deletombe Maxime,UTL,R,R,,,1988
0,Denachtergael Ryan,UTL,R,R,,,2005
0,Derese Livio,UTL,R,R,,,2008
0,Goudelouf Sébastien,UTL,R,R,,,2006
0,Guerra Elizondo César Emilio,UTL,R,R,,,2005
0,Hubert Adrien,UTL,R,R,,,2001
0,Laurent Seyhan,UTL,R,R,,,2009
0,Lories Samuël,UTL,R,R,,,2009
0,Mostosi Patrick,UTL,R,R,,,1984
0,Nyst Alexandre,UTL,R,R,,,2007
0,Plennevaux Alexandre,UTL,R,R,,,1973
0,Quenon Nathan,UTL,R,R,,,2003
0,Raymond Xavier,UTL,R,R,,,1983
0,Schmitz Donatien,UTL,R,R,,,1995
0,TAELMAN Timothé,UTL,R,R,,,2008
0,Tran David,UTL,R,R,,,2003
0,Van Impe Julien,UTL,R,R,,,2008
0,Vandendriessche Nicolas,UTL,R,R,,,1998
0,Vingerhoets Jean-Marie,UTL,R,R,,,1981
0,Warny Valentin,UTL,R,R,,,2007
