uniform_number,player_name,position,bats,throws,ht,wt,yob
7,Baudé Florian,OF/UTL,R,R,0,0,1992
99,Berintan Robin-Jan,OF/UTL,R,L,0,0,2005
13,Boekaert Emiel,OF/UTL,R,R,0,0,2005
22,Callewaert Erik,UTL,R,R,0,0,1968
6,Cardinael Giel,OF,R,R,0,0,1994
32,Daoudi Loïc,C/UTL,R,R,0,0,1999
30,De Clercq Maurits,OF/UTL,R,R,0,0,1998
26,De Meyer Sam,OF/UTL,R,R,0,0,1997
43,Decraene Miel,OF/UTL,R,R,0,0,2006
99,Hoflack Tim,UTL,R,R,0,0,2004
54,Hoflack Bram,P/OF/UTL,R,R,0,0,1998
27,Jamers Seth,OF/UTL,R,R,0,0,2002
12,Meuris Robin,P/UTL,L,L,0,0,1989
99,Ouahab Faycal,OF/UTL,R,R,0,0,1990
99,Rising Nigel,OF/UTL,R,R,0,0,2000
99,Schalck Yannick,UTL,R,R,,,2001
44,Tartan Anthony,OF/UTL,R,R,0,0,1984
48,Theus Carlos Miguel,OF/UTL,R,R,0,0,1980
99,Van Deynse Mathis,OF/UTL,R,R,0,0,2007
85,Vandervelden Cazimir,OF/UTL,L,L,0,0,2008
15,Wieme Jorg,OF/UTL,R,R,0,0,1998
9,Wollaert Björn,OF/UTL,R,R,0,0,1976
69,Wollaert Kjell,OF/UTL,R,R,0,0,1978
