uniform_number,player_name,position,bats,throws,ht,wt,yob
29,Ballardini Lino,UTL,R,R,0,0,1996
33,Bebee Brayden,P,R,R,0,0,1998
25,Buerms Lieven,UTL,R,R,0,0,1990
20,De Quint Dennis,UTL,R,R,0,0,1985
23,Desmedt Kevin,UTL,R,R,0,0,1995
2,Goffaux Benjamin,UTL,R,R,0,0,1998
81,Hendrickx Zane,UTL,R,R,0,0,2004
7,Janssen Drew,UTL,R,R,0,0,1999
76,Janssens Wesley,UTL,R,R,0,0,1993
15,Jie-sam-foek Jason,UTL,R,R,0,0,1989
99,Lewis Rob,UTL,R,R,0,0,1998
0,Rizzi Lucas,UTL,R,R,0,0,1999
51,Sellicaerts Yorrid,UTL,R,R,0,0,2000
24,Spurgeon Mizunoya Ken,UTL,R,R,0,0,2004
5,Tiliakos Vegas,UTL,R,R,0,0,2005
80,Unda Luis,UTL,R,R,0,0,1990
19,Van Nuffel Ben,UTL,R,R,0,0,1993
39,Verspreet Xander,UTL,R,R,0,0,1998
18,Verspreet Brendan,UTL,R,R,0,0,1998
