uniform_number,player_name,position,bats,throws,ht,wt,yob
1,Adams Liam,SS/IF,R,R,0,0,2004
0,Chaibub Coronel Tony Alberto,UTL,R,R,0,0,1981
1,Degelin Max,C,R,R,0,0,2000
1,Florus Amraa,P,R,R,0,0,2005
7,Helsen Lowie,P,R,R,0,0,2005
8,Henriquez Ramon Jhan Poll,3B/OF,R,R,0,0,1990
1,Jaspe Néstor,OF,L,L,0,0,1987
11,Lambert Joey,C/3B,R,R,0,0,2001
3,Langezaal Harold,OF,R,R,0,0,2000
72,Morales Luis Efrem,P,R,R,0,0,1993
37,Morgan John Paul,P/1B,R,R,0,0,1993
17,Otto Bryan,C/SS,R,R,0,0,2005
42,Papanikitas Tobias,UTL,R,R,0,0,1996
0,Plompen Xaime,UTL,R,R,0,0,2004
2,Polfliet Arno,P,L,L,0,0,2001
41,Reyns Kevin,SS,R,R,0,0,1991
44,Reyns Robin,3B/SS,R,R,0,0,1994
22,Ryniers Jarno,2B,R,R,0,0,2001
23,Schoonheydt Stefan,OF,R,R,0,0,2002
13,Uten Mikka,1B,R,R,0,0,1990
32,Van De Velde Kenneth,2B,R,R,0,0,1993
12,Van Elsacker Shane,C,R,R,0,0,1990
21,Van Royen Arne,P/OF,R,R,0,0,1996
7,Verduyckt Luigi,P/OF,L,L,0,0,1994
18,Voorhelst Benjamin,P/OF,R,R,0,0,1997
0,Adams Liam,UTL,R,R,0,0,2004
0,Baesen Damon,UTL,R,R,0,0,1996
0,Baesen Remi,UTL,R,R,0,0,1997
0,Criekemans Bruce,UTL,R,R,0,0,1995
0,Florus Amraa,UTL,R,R,0,0,2005
0,Florus Aron,UTL,R,R,0,0,2008
0,Gielissen Maxim,UTL,R,R,0,0,2008
0,Gijsens Jossip,UTL,R,R,0,0,2008
0,Hato Daira,UTL,R,R,0,0,2007
0,Kennis Kiran,UTL,R,R,0,0,2007
0,Plompen Xaime,UTL,R,R,0,0,2004
0,Schaeck Dempsey,UTL,R,R,0,0,2008
0,Spinnoy Kevin,UTL,R,R,0,0,1994
0,Van Den Brande Robbe,UTL,R,R,0,0,2005
0,Van den Neucker Seth,UTL,R,R,0,0,2007
0,Van Hoovels Jordy,UTL,R,R,0,0,1996
0,Vervenne Rube,UTL,R,R,0,0,2005
0,Vervenne Lars,UTL,R,R,0,0,2007
0,Vinken Ciaran,UTL,R,R,0,0,2000
