uniform_number,player_name,position,bats,throws,ht,wt,yob
26,Accorsi Luca,SS,R,R,0,0,1993
39,Baccelli Marco,C/1B,R,R,0,0,1986
7,Carolingi Alessandro,P/OF,R,R,0,0,2007
40,Carolingi Riccardo,P/OF,R,R,0,0,2005
42,Casanova Edoardo,P/OF,R,R,0,0,2003
50,Cavallari Francesco,OF,R,R,0,0,1993
72,Cocchi Alex,P/2B/OF,S,R,0,0,2001
13,Contri Alex,C,R,R,0,0,2007
66,Corradin Michael,P/C,R,R,0,0,1991
23,Del Priore Fabio,2B,R,R,0,0,1992
1,Errico Mirko,P/C/3B,R,R,0,0,2001
11,Giorgi Francesco,P,R,R,0,0,1992
57,Misell Martinez Carlos Enrique,P,R,R,0,0,1992
22,Monda Manuel,C/1B,L,R,0,0,2004
12,Monda Mirco,1B/OF,R,R,0,0,1991
32,Montanari Lorenzo,2B/SS,R,R,0,0,2004
5,Montanari Alessandro,OF,R,R,0,0,1997
28,Montieth Herrera Frank Andry,P,R,R,0,0,1985
48,Nepoti Riccardo,P,R,R,0,0,2004
34,Righini Luca,UTL,L,L,0,0,2008
10,Venturi Michele,1B/OF,R,R,0,0,1993
29,Vignali Marco,OF,R,R,0,0,1996
15,Zappone Lino Johel,IF/OF,R,R,0,0,1988
15,Anzovino Thomas,OF,R,R,0,0,2005
30,Bacci Lorenzo,OF,L,R,0,0,2004
6,Borghi Gilberto,1B/OF,L,R,0,0,1998
5,Campanella Lorenzo,P,R,R,0,0,2000
21,Cantelli Alessandro,P,R,R,0,0,2002
43,Ferri Jacopo,IF,R,R,0,0,2001
10,Franceschini Rafael,OF,R,R,0,0,1997
1,Giacomini Tommaso,C/IF,R,R,175,68,2003
55,Lambertini Lorenzo,C/1B/OF,R,R,0,0,2004
19,Marchi Davide,UTL,R,R,0,0,2000
45,Marchi Federico,IF/UTL,L,R,0,0,2004
9,Mezzetti Axel,C/IF,R,R,0,0,2005
77,Moronta Rodriguez Francisco Julian,2B/OF,R,R,0,0,2003
48,Nanetti Andrea,P,R,R,0,0,1997
2,Pancellini Mattia,C/1B,L,R,182,85,2001
4,Pani Lorenzo,IF/UTL,R,R,0,0,2005
58,Persici Gabriele,P,R,R,0,0,2003
11,Rizzoli Niccolo,P,R,R,0,0,2003
47,Rondelli Lorenzo,CF,R,R,0,0,1998
27,Silva Mena Ricardo Antonio,P,L,L,0,0,2000
3,Tamburini Jacopo,IF,S,R,0,0,2004
16,Bartolini Marco,UTL,R,R,1.70,68,2006
25,Calcagni Elia,P/UTL,R,R,175,70,2006
31,Calcagni Mattia,P/SS,R,R,175,72,2006
12,Carrera Lopez Jesus Daniel,1B/RF,L,L,180,80,1993
97,CORREA ROMERO MANAURYS,P,R,R,195,90,1989
23,Di Battista Romero Gianmarco Jesus,2B/DH/UTL,R,R,170,75,1993
83,Exposito Gotera Ernesto David,C/DH,R,R,175,75,1998
54,GARCIA SEBASTIAN ALEJANDRO,CF,L,L,175,75,1987
7,garcia pereira jose elias,C/1B,S,R,180,80,2001
29,Lopez Nunez Javier Alberto,SS,R,R,190,87,1994
37,Luciani Gionni,LF/UTL,R,R,175,70,1996
72,Marinelli Tommaso,C,R,R,170,72,2004
99,Mazzocchi Rene Rafael,P,L,L,175,75,1988
32,MEJIA FLORES Dilmer Ramon,P,L,L,180,81,1997
61,Mercuri Daniele,SS/UTL,R,R,186,85,2001
5,Morresi Alessandro,2B/DH,R,R,175,73,2000
10,Morresi Lorenzo,C/3B,S,R,175,75,2001
21,Palumbo Cardozo Angelo Michelle Paolo,P,R,R,193,90,1995
74,Perdomo Mora Gabriel Eduardo,SS/DH,R,R,170,70,2008
13,Pereira Jablonskis Anthony Jose,3B,R,R,180,80,1996
39,Pérez Padilla Andrés Eduardo,P,R,R,186,85,1991
43,Pioli Leonardo,UTL,L,L,1.72,65,2007
88,Quattrini Gabriele,P,R,R,195,115,1996
45,Ripani Filippo,C/UTL,R,R,175,73,2007
20,Splendiani Leonardo,RF/UTL,R,R,178,75,1995
73,TORRES RAMIREZ JUAN MANUEL,P,L,L,175,68,2004
0,Ariani Jordan,C/UTL,R,R,148,43,2007
46,Ariani Jonathan,1B/UTL,R,R,0,0,1997
11,Becchi Lorenzo,P/UTL,R,R,0,0,2003
0,Belnabe Torres Maicol Desmin,P/UTL,R,R,0,0,1995
